CustomerID,recency,frequency,monetary,R,F,M,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,5,115,Hibernating
12347.0,1,6,3598.21,5,5,5,555,Champions
12348.0,74,3,904.44,2,3,3,233,At Risk
12349.0,18,1,1757.55,4,1,4,414,Potential Loyalist
12350.0,309,1,334.4,1,1,2,112,Hibernating
12352.0,35,8,2506.04,3,5,5,355,Loyal Customers
12353.0,203,1,89.0,1,1,1,111,Hibernating
12354.0,231,1,1079.4,1,1,4,114,Hibernating
12355.0,213,1,459.4,1,1,2,112,Hibernating
12356.0,22,3,2811.43,4,3,5,435,Loyal Customers
12357.0,32,1,6207.67,3,1,5,315,Others
12358.0,1,2,1168.06,5,2,4,524,Potential Loyalist
12359.0,57,4,6310.03,3,4,5,345,Loyal Customers
12360.0,51,3,2662.06,3,3,5,335,Loyal Customers
12361.0,286,1,189.9,1,1,1,111,Hibernating
12362.0,2,10,5226.23,5,5,5,555,Champions
12363.0,109,2,552.0,2,2,3,223,Hibernating
12364.0,7,4,1313.1,5,4,4,544,Champions
12365.0,290,2,641.38,1,2,3,123,Hibernating
12367.0,3,1,168.9,5,1,1,511,Potential Loyalist
12370.0,50,2,1677.67,3,2,4,324,Others
12371.0,44,2,1887.96,3,2,4,324,Others
12372.0,71,3,1298.04,2,3,4,234,At Risk
12373.0,310,1,364.6,1,1,2,112,Hibernating
12374.0,24,1,742.93,4,1,3,413,Potential Loyalist
12375.0,10,2,457.5,5,2,2,522,Potential Loyalist
12377.0,314,1,626.6,1,1,3,113,Hibernating
12378.0,129,1,4008.62,2,1,5,215,Hibernating
12379.0,81,2,852.24,2,2,3,223,Hibernating
12380.0,21,4,2724.81,4,4,5,445,Champions
12381.0,4,5,1845.31,5,4,4,544,Champions
12383.0,184,4,1249.84,1,4,4,144,At Risk
12384.0,28,2,585.27,4,2,3,423,Potential Loyalist
12386.0,337,1,143.0,1,1,1,111,Hibernating
12388.0,15,6,2780.66,4,5,5,455,Champions
12390.0,79,1,549.84,2,1,3,213,Hibernating
12391.0,21,1,439.66,4,1,2,412,Potential Loyalist
12393.0,71,4,1582.6,2,4,4,244,At Risk
12394.0,63,2,1272.48,3,2,4,324,Others
12395.0,18,10,2338.71,4,5,5,455,Champions
12397.0,35,2,2409.9,3,2,5,325,Others
12398.0,45,1,1635.66,3,1,4,314,Others
12399.0,118,4,1108.65,2,4,4,244,At Risk
12401.0,302,1,84.3,1,1,1,111,Hibernating
12402.0,322,1,225.6,1,1,1,111,Hibernating
12403.0,49,1,427.7,3,1,2,312,Others
12405.0,148,1,1710.39,2,1,4,214,Hibernating
12406.0,21,2,3415.3,4,2,5,425,Potential Loyalist
12407.0,49,5,1708.12,3,4,4,344,Loyal Customers
12408.0,32,5,2888.55,3,4,5,345,Loyal Customers
12409.0,78,3,11072.67,2,3,5,235,At Risk
12410.0,308,2,693.33,1,2,3,123,Hibernating
12412.0,74,3,1226.88,2,3,4,234,At Risk
12413.0,66,3,758.1,3,3,3,333,Loyal Customers
12414.0,216,3,562.41,1,3,3,133,At Risk
12415.0,23,21,124914.53,4,5,5,455,Champions
12417.0,2,8,3357.76,5,5,5,555,Champions
12418.0,112,1,668.58,2,1,3,213,Hibernating
12420.0,63,1,600.39,3,1,3,313,Others
12421.0,15,4,807.04,4,4,3,443,Loyal Customers
